2025-12-31 17:45:18,264 | [DEBUG] | typisation | Начало суммирования!
2025-12-31 17:45:18,265 | [INFO] | typisation | Результат = {'sum_of_nums': 3}
2025-12-31 17:45:18,265 | [DEBUG] | typisation | Начало вычитания!
2025-12-31 17:45:18,265 | [INFO] | typisation | Результат = {'sub_of_nums': -1}
2025-12-31 17:45:18,265 | [DEBUG] | typisation | Начало умножения!
2025-12-31 17:45:18,265 | [INFO] | typisation | Результат = {'pr_of_nums': 2}
2025-12-31 17:45:18,265 | [DEBUG] | typisation | Начало деления!
2025-12-31 17:45:18,265 | [INFO] | typisation | Результат = {'dev_of_nums': 0.5}
2025-12-31 17:45:18,265 | [DEBUG] | typisation | Продолжаем выполнение программы
2025-12-31 17:45:18,265 | [DEBUG] | typisation | Начало суммирования!
2025-12-31 17:45:18,265 | [INFO] | typisation | Результат = {'sum_of_nums': 5}
2025-12-31 17:45:18,266 | [DEBUG] | typisation | Начало вычитания!
2025-12-31 17:45:18,266 | [INFO] | typisation | Результат = {'sub_of_nums': -1}
2025-12-31 17:45:18,266 | [DEBUG] | typisation | Начало умножения!
2025-12-31 17:45:18,266 | [INFO] | typisation | Результат = {'pr_of_nums': 6}
2025-12-31 17:45:18,266 | [DEBUG] | typisation | Начало деления!
2025-12-31 17:45:18,266 | [INFO] | typisation | Результат = {'dev_of_nums': 0.6666666666666666}
2025-12-31 17:45:18,266 | [DEBUG] | typisation | Продолжаем выполнение программы
2025-12-31 17:45:18,266 | [DEBUG] | typisation | Начало суммирования!
2025-12-31 17:45:18,266 | [INFO] | typisation | Результат = {'sum_of_nums': 7}
2025-12-31 17:45:18,266 | [DEBUG] | typisation | Начало вычитания!
2025-12-31 17:45:18,266 | [INFO] | typisation | Результат = {'sub_of_nums': -1}
2025-12-31 17:45:18,266 | [DEBUG] | typisation | Начало умножения!
2025-12-31 17:45:18,266 | [INFO] | typisation | Результат = {'pr_of_nums': 12}
2025-12-31 17:45:18,266 | [DEBUG] | typisation | Начало деления!
2025-12-31 17:45:18,266 | [INFO] | typisation | Результат = {'dev_of_nums': 0.75}
2025-12-31 17:45:18,266 | [DEBUG] | typisation | Продолжаем выполнение программы
2025-12-31 17:45:18,266 | [DEBUG] | typisation | Начало суммирования!
2025-12-31 17:45:18,266 | [INFO] | typisation | Результат = {'sum_of_nums': 3}
2025-12-31 17:45:18,266 | [DEBUG] | typisation | Начало вычитания!
2025-12-31 17:45:18,266 | [INFO] | typisation | Результат = {'sub_of_nums': 3}
2025-12-31 17:45:18,266 | [DEBUG] | typisation | Начало умножения!
2025-12-31 17:45:18,266 | [INFO] | typisation | Результат = {'pr_of_nums': 0}
2025-12-31 17:45:18,266 | [DEBUG] | typisation | Начало деления!
2025-12-31 17:45:18,266 | [ERROR] | typisation | Деление на ноль не определено!
Traceback (most recent call last):
  File "C:\Users\User\PycharmProjects\profipython\logging\homeworklog.py", line 59, in dev_num
    raise ZeroDivisionError('На ноль делить нельзя!')
ZeroDivisionError: На ноль делить нельзя!
2025-12-31 17:45:18,268 | [DEBUG] | typisation | Продолжаем выполнение программы
2025-12-31 17:45:18,268 | [DEBUG] | typisation | Начало суммирования!
2025-12-31 17:45:18,268 | [INFO] | typisation | Результат = {'sum_of_nums': 91}
2025-12-31 17:45:18,268 | [DEBUG] | typisation | Начало вычитания!
2025-12-31 17:45:18,268 | [INFO] | typisation | Результат = {'sub_of_nums': 83}
2025-12-31 17:45:18,268 | [DEBUG] | typisation | Начало умножения!
2025-12-31 17:45:18,268 | [INFO] | typisation | Результат = {'pr_of_nums': 348}
2025-12-31 17:45:18,268 | [DEBUG] | typisation | Начало деления!
2025-12-31 17:45:18,268 | [INFO] | typisation | Результат = {'dev_of_nums': 21.75}
2025-12-31 17:45:18,268 | [DEBUG] | typisation | Продолжаем выполнение программы
2025-12-31 17:45:18,268 | [DEBUG] | typisation | Начало суммирования!
2025-12-31 17:45:18,268 | [INFO] | typisation | Результат = {'sum_of_nums': 76}
2025-12-31 17:45:18,268 | [DEBUG] | typisation | Начало вычитания!
2025-12-31 17:45:18,268 | [INFO] | typisation | Результат = {'sub_of_nums': -54}
2025-12-31 17:45:18,268 | [DEBUG] | typisation | Начало умножения!
2025-12-31 17:45:18,268 | [INFO] | typisation | Результат = {'pr_of_nums': 715}
2025-12-31 17:45:18,268 | [DEBUG] | typisation | Начало деления!
2025-12-31 17:45:18,268 | [INFO] | typisation | Результат = {'dev_of_nums': 0.16923076923076924}
2025-12-31 17:45:18,268 | [DEBUG] | typisation | Продолжаем выполнение программы
